social_media_post_id,platform,post_date,post_text,engagement_count,reach_count,hashtags,trend_score,brand,collabs,collabs_status,jenis_konten
1,Instagram,2024-05-02,"Structure agreement side training. Safe face body former also according over development.
Buy everybody trip television. Media entire plant seem.",92489,599719,"{#do,#girl}",67.3,Adidas,,,Video
2,Instagram,2024-04-11,"Sure vote data itself find bad. If whole like note collection.
Herself low stand save purpose threat road. Design model morning suffer small.",34751,424496,"{#view,#hair}",90.6,Reebok,,,Video
3,Instagram,2024-01-20,Relationship white write like early program compare. Natural future game finally discover soldier.,55487,155021,"{#suggest,#push}",1.3,Nike,"@Williams, Thompson and Garcia",Ada,Image
4,TikTok,2024-11-28,Defense letter doctor instead include customer property. Analysis process full but dog. Center eight late artist two development land.,7998,597475,"{#here,#shake}",48.2,Reebok,,,Video
5,TikTok,2024-10-14,Although week paper minute chair tend. Past ago hear ground important. Toward outside dinner too health.,87388,801224,"{#modern,#act,#push,#amount,#notice}",8.6,Converse,,,Image
6,Instagram,2024-06-07,Relate civil experience use authority. Pressure big seat just million sense future.,27112,847158,"{#your,#tend}",60.5,Converse,,,Video
7,TikTok,2024-07-27,"Left give into left leave north. Offer like hope box receive low ask.
Federal world really admit low. Forget ten small ball.",29916,981732,"{#local,#fly,#specific,#tend}",35.1,Reebok,,,Image
8,TikTok,2024-04-11,"On public ready. Method often way fall.
Catch by partner hair important write night lead. Later by real treatment heavy. Serious value line.",53767,332222,{#great},57.6,Puma,@Mendoza-Murray,Tidak Ada,Image
9,Instagram,2024-12-31,"Subject attorney since lay late sit employee. Medical group worry voice head pick debate support. Result according company food hair tough yes.
Wide them hundred pass matter level upon.",83327,545989,"{#management,#security,#crime,#meet,#score}",23.6,Nike,,,Image
10,TikTok,2024-11-07,Fall next everything general page energy. Age recognize team which police Republican involve including.,61637,791044,"{#reason,#simple,#image}",34.5,Nike,"@Manning, Weber and Berry",Ada,Image
11,Instagram,2024-03-01,"Task test meeting middle official. Know according per story notice represent too. Organization low see serve special.
Million central before improve rule. Claim reason operation.",1364,708221,"{#few,#score}",30.6,Reebok,@Wood-Turner,Ada,Image
12,TikTok,2024-05-20,"Analysis television citizen firm. Ask move check page life no hear.
World character indeed father short leader Democrat. Probably activity picture to agent hope.",1280,137018,"{#staff,#future,#money,#bill}",40.7,Adidas,,,Video
13,TikTok,2024-08-23,"Term watch he role arm assume. Face open whole certain necessary middle old.
West allow the particularly pull. Space southern throw real value affect down.",36965,871066,"{#family,#out,#hard}",17.2,Nike,,,Image
14,TikTok,2024-11-06,What star idea effect dark plan against. Question financial something black though daughter particularly.,42429,123922,"{#interesting,#top,#news,#box}",63.1,Reebok,,,Video
15,Instagram,2024-11-07,Quite certainly guess everyone him. Seat eight drug turn child world today. Movie suffer hotel during range author.,48420,995687,"{#perhaps,#everyone}",16.5,Puma,,,Video
16,TikTok,2024-08-16,Answer evening various front relate bill. Detail listen better lead language very another. President instead Democrat young action often.,12389,547422,"{#power,#respond,#give,#computer}",90.1,Converse,,,Video
17,Instagram,2024-11-05,"Society news simple cell degree law. Drop decade spring million.
Statement beautiful now memory may. Item pick evening hotel check.",40182,268281,"{#general,#work,#six,#turn}",5.1,Reebok,,,Image
18,TikTok,2024-05-27,"Keep pretty painting ten. Including consumer skill special thus step relate. Authority way likely per.
Whose with chance full let. Should forward nice case might world road picture.",80149,591592,"{#PM,#six,#policy,#capital}",80.0,Nike,@Stephens and Sons,Ada,Video
19,TikTok,2024-04-08,"Film suffer employee board back. Through itself century camera kid wall. Later machine look.
Admit box challenge image garden different common forward. Enjoy response second almost.",3300,892284,{#garden},27.5,Adidas,,,Video
20,TikTok,2024-07-27,"Card car single. Challenge want really sea still worker.
Provide spring another certain. Government nation news attorney ground song. Buy fly her point new.",34757,988511,{#firm},26.2,Reebok,,,Video
21,TikTok,2024-11-23,"Lose raise support education final stay make. Under minute manage three fear low.
Capital main style fast country country their. Short serve manager report his cover happen.",13067,74754,"{#participant,#civil,#throughout,#small,#pick}",34.1,Reebok,@Olson PLC,Ada,Image
22,TikTok,2024-03-31,"Art start possible to media learn. Serious another hope animal can with dark. Movement also she can.
So we test stage least. Rate true since hand local white step. Sometimes tough look so reality.",66980,954503,{#meeting},16.6,Reebok,,,Image
23,TikTok,2024-07-01,Under agree material hotel hour show near treatment. Really choose leave season return strategy rise talk. Protect together really imagine enter throughout too.,28513,276387,"{#word,#note,#site}",72.4,Adidas,,,Image
24,Instagram,2024-02-21,Second thank put born stay draw that section. Hear sit after still management parent training. Find body analysis test happen need it.,81807,209650,{#authority},64.1,Nike,,,Image
