product_id,product_name,brand,subcategory,color,gender_orientation,price,discount,rating,number_of_reviews,product_lifecycle_status,launch_date,trending_score,sustainability_rating,size_availability,terjual,care_instructions,origin,sole_material,upper_material
1,Puma Football Ultra,Puma,Football,Navy,Men,2621000.0,0,3.7,578,New,2024-09-22,86.4,1.6,f,3085,Hand wash only,Thailand,EVA,Knit
2,Converse Tennis Pro,Converse,Tennis,White,Men,2309000.0,0,3.5,276,New,2022-07-26,78.6,3.0,t,1361,Wipe with damp cloth,Thailand,EVA,Suede
3,Reebok Football Lite,Reebok,Football,Grey,Unisex,1325000.0,20,4.7,899,Discontinued,2020-05-21,36.2,3.3,f,2419,Hand wash only,Indonesia,TPU,Canvas
4,Reebok Badminton Ultra,Reebok,Badminton,Green,Women,1376000.0,30,4.0,697,Discontinued,2024-10-14,24.1,3.5,t,2861,Air dry only,Vietnam,TPU,Synthetic
5,Puma Sandals Classic,Puma,Sandals,Grey,Unisex,2416000.0,30,3.5,64,Clearance,2022-12-18,37.6,3.5,t,3971,Hand wash only,Vietnam,Rubber,Synthetic
6,Puma Basketball Ultra,Puma,Basketball,White,Men,734000.0,40,5.0,811,New,2021-01-29,67.3,1.3,t,2797,Hand wash only,Malaysia,TPU,Mesh
7,Nike Tennis Elite,Nike,Tennis,Black,Women,895000.0,0,4.0,676,Regular,2022-09-26,58.0,3.2,t,1653,Machine wash cold,Thailand,Phylon,Canvas
8,Puma Tennis Classic,Puma,Tennis,Grey,Unisex,795000.0,20,4.0,408,Discontinued,2020-02-16,17.7,2.9,t,4112,Wipe with damp cloth,Malaysia,Phylon,Nylon
9,Reebok Badminton Classic,Reebok,Badminton,Red,Women,2556000.0,0,4.2,1,New,2021-10-06,27.5,3.4,t,4905,Machine wash cold,Indonesia,Rubber,Synthetic
10,Puma Casual Pro,Puma,Casual,White,Men,996000.0,30,4.6,304,New,2020-11-19,42.9,4.0,t,3012,Air dry only,Thailand,Phylon,Suede
11,Reebok Badminton Ultra,Reebok,Badminton,Navy,Men,1078000.0,10,4.3,687,New,2023-04-19,29.7,1.8,t,3784,Hand wash only,China,EVA,Nylon
12,Nike Football Elite,Nike,Football,Grey,Men,2486000.0,50,5.0,834,Discontinued,2021-03-16,77.0,4.2,t,501,Do not bleach,Vietnam,Phylon,Canvas
13,Adidas Running Classic,Adidas,Running,White,Unisex,1399000.0,0,5.0,292,Regular,2020-08-28,10.7,1.4,t,2512,Do not bleach,China,Leather,Knit
14,Adidas Tennis Pro,Adidas,Tennis,Red,Men,659000.0,20,4.6,213,New,2022-05-15,24.8,2.5,f,1596,Do not bleach,Vietnam,Phylon,Knit
15,Adidas Badminton Classic,Adidas,Badminton,Black,Women,2506000.0,0,4.2,172,Discontinued,2020-03-22,69.5,4.3,f,1893,Hand wash only,Vietnam,Leather,Suede
16,Converse Badminton Classic,Converse,Badminton,Grey,Women,937000.0,50,4.6,598,Clearance,2023-09-28,80.4,1.4,f,91,Machine wash cold,Thailand,Leather,Suede
17,Reebok Tennis Elite,Reebok,Tennis,Purple,Unisex,904000.0,0,4.5,616,Regular,2024-10-01,86.9,2.4,t,4251,Hand wash only,China,TPU,Knit
18,Reebok Sandals Ultra,Reebok,Sandals,Pink,Unisex,1752000.0,0,4.1,551,Discontinued,2024-05-23,57.5,1.9,t,3041,Do not bleach,China,EVA,Nylon
19,Adidas Tennis Ultra,Adidas,Tennis,Red,Women,930000.0,20,3.6,679,Regular,2022-02-19,98.2,1.7,t,648,Machine wash cold,China,Rubber,Synthetic
20,Puma Football Elite,Puma,Football,Black,Women,1493000.0,50,4.9,349,Clearance,2021-06-17,81.0,3.6,f,9,Air dry only,Indonesia,TPU,Synthetic
21,Reebok Tennis Pro,Reebok,Tennis,Grey,Men,865000.0,0,4.6,8,Clearance,2020-07-22,57.9,1.3,t,3148,Do not bleach,Indonesia,Rubber,Synthetic
22,Reebok Casual Elite,Reebok,Casual,White,Women,966000.0,10,4.8,210,New,2023-08-14,84.6,4.3,t,3226,Do not bleach,Indonesia,Leather,Nylon
23,Converse Casual Lite,Converse,Casual,Pink,Women,2805000.0,30,3.7,172,Discontinued,2024-04-30,8.4,2.9,f,3223,Machine wash cold,Vietnam,EVA,Synthetic
24,Puma Basketball Classic,Puma,Basketball,Navy,Women,2266000.0,0,4.3,848,Discontinued,2024-03-17,84.2,3.3,t,1923,Machine wash cold,Indonesia,Rubber,Leather
25,Converse Tennis Pro,Converse,Tennis,Grey,Men,1241000.0,0,3.7,599,Regular,2021-08-15,67.4,4.3,t,1343,Machine wash cold,Thailand,EVA,Mesh
26,Converse Basketball Ultra,Converse,Basketball,Red,Women,1926000.0,10,4.9,517,Regular,2022-04-21,78.1,2.1,f,2026,Wipe with damp cloth,China,EVA,Knit
27,Reebok Basketball Pro,Reebok,Basketball,Purple,Women,2037000.0,0,4.5,386,Clearance,2020-01-09,69.0,4.9,t,3208,Wipe with damp cloth,Thailand,Leather,Synthetic
28,Adidas Running Elite,Adidas,Running,Blue,Men,2604000.0,30,4.1,980,Discontinued,2020-12-25,63.8,3.6,t,671,Do not bleach,Malaysia,Phylon,Leather
