nama_produk,Terjual,Bintang Produk,Harga Produk,Product Summary,Fabric type,Care instructions,Origin,Sole material,Department,Date First Available,Deskripsi,Info Tambahan
adidas Men's Grand Court 2.0,500,4.7,69,"Customers appreciate the shoes for their quality, comfort, and style. They find the leather construction durable and the cushioned insole comfortable. Many like the retro design that works with any outfit. The fit is true to size, and customers are satisfied with the wearability, functionality, and ease of cleaning. Overall, customers consider these a great value for the price.",Synthetic leather,Machine Wash,Imported,Rubber,mens,11-Nov,"Men's casual sneakers with a clean look LIGHTWEIGHT COMFORT: Synthetic upper for durability and light weight TWO-LAYER SOCKLINER: Cloudfoam Comfort sockliner is ultra-soft and plush, with two layers of cushioning topped with soft, breathable mesh RUBBER OUTSOLE: The rubber outsole provides outstanding grip and a sleek, low-profile look","Department : mens, Date First Available : November 11, 2023, ASIN : B0CN517QBG"
adidas Men's Ultraboost 1.0 Shoe,600,4.4,146,"Customers find the shoes comfortable and providing good cushioning. They like the style and consider them a quality shoe for running or training. However, some customers report issues with the size being too tight around the ankles and narrow on the feet. There are mixed opinions on the durability and stain resistance of the shoes.",Rubber,,Imported,Rubber,mens,12-Apr,adidas mens Sneaker,"Department : mens, Date First Available : April 12, 2024, ASIN : B0DF2BDQDT"
adidas Men's Samba Classic Soccer Shoe,1000,4.5,73,"Customers find these shoes comfortable and well-made. They appreciate the stylish design and consider them a great addition to their summer wardrobe. Many customers find the shoes fit loosely or slimly, providing good support for their feet. While most are satisfied with the wearability, some have mixed opinions on the sizing.",100% Leather,Hand Wash,Made in the USA,Rubber,mens,9-May,"Full grain leather upper Die-cut EVA insole for lightweight comfort Printed ""SAMBA"" on quarter","Department : mens, Date First Available : May 9, 2024, ASIN : B0D3R67CLM"
adidas Men's Daily 4.0 Shoes,2000,4.6,57,"Customers appreciate the shoes' build quality, appearance, and fit. They find the shoes solid-looking, comfortable, and wide enough for their feet. Many of them consider the shoes a good value and a good buy.",,,Imported,Rubber,mens,,"Classic skate-inspired sneakers for stylish everyday wear FLEXIBLE UPPER: Soft textile upper is stretchy and comfortable REINFORCED TOE: Added protection in the toe area offers extra durability TEXTILE LINING: Textile lining provides a soft, comfortable feel RUBBER OUTSOLE: The rubber outsole provides outstanding grip and a sleek, low-profile look",Tidak ditemukan
adidas Women's Kaptir Flow Sneaker,2000,4.5,61,"Customers appreciate the comfortable shoes with a nice look and good support. They find the shoes true to size and have a wide toe box. The shoes provide ample cushioning without being too heavy, providing great value for money. Many customers like the lightweight design, cushioning, and ease of cleaning.",,,,Rubber,womens,6-Oct,"Women's running-inspired shoes for everyday wear CLOUDFOAM SOCKLINER: Cloudfoam sockliner for comfort and lightweight cushioning BOUNCE: Lightweight Bounce cushioning provides enhanced comfort and flexibility RUBBER OUTSOLE: The rubber outsole provides outstanding grip and a sleek, low-profile look","Product Dimensions : 14 x 9 x 5 inches; 3 Pounds, Item model number : NKH14, Department : womens, Date First Available : October 6, 2023, Manufacturer : adidas, ASIN : B0CMXM3PD4"
adidas Women's Cloudfoam Pure Sportswear Sneaker,1000,4.4,48,"Customers appreciate the comfortable and supportive shoes with a casual style that goes well with different outfits. They find the shoes lightweight, not thick or heavy, and have great traction. Many customers consider them wonderful sneakers with memory foam and good arch support. The shoes are considered wonderful running/tennis shoes with great traction. Customers also like the value for money. However, some customers have mixed opinions on the fit, ease of putting them on, and quality.",Synthetic-and-rubber,,Imported,Rubber,womens,29-Dec,"Women's streamlined shoes for all-day comfort FLEXIBLE UPPER: Soft textile upper is stretchy and comfortable CUSHIONED MIDSOLE: Cloudfoam midsole and memory foam sockliner for step-in comfort and superior cushioning RUBBER OUTSOLE: The non-marking rubber outsole provides outstanding grip and a sleek, low-profile look","Department : womens, Date First Available : December 29, 2023, ASIN : B0CR6LFKC1"
adidas Women's Vl Court 3.0,2000,4.5,56,"Customers appreciate the shoes for their style, comfort, and quality. They find the shoes look fabulous, have a soft heel, and feel like their feet can breathe. Many of them love the shoes and find them versatile. However, some customers have mixed opinions on the size and weight.",,,Made in the USA or Imported,Rubber,womens,23-Oct,"RUNS LARGE: Size down ½ size SUEDE UPPER: Soft suede upper for a classic footwear look and feel TEXTILE LINING: Textile lining provides a soft, comfortable feel LIGHTWEIGHT CUSHIONING: Cushioned midsole offers step-absorbing, durable comfort","Department : womens, Date First Available : October 23, 2024, ASIN : B0DKP6VYWP"
PUMA Men's Viz Runner Cross-trainer,500,4.5,49,"Customers find the shoes comfortable and providing good support. They like the style, color, and markings. The shoes fit well and are a great value for money. Many customers are satisfied with the quality and ease of cleaning. However, opinions differ on the overall quality.",100% Synthetic,Machine Wash,Made in USA and Imported,Rubber,mens,21-Sep,Synthetic upper Lace up closure Rubber midsole Rubber outsole,"Product Dimensions : 12.7 x 7.9 x 4.5 inches; 12 ounces, Item model number : PUMA-191037, Department : mens, Date First Available : September 21, 2015, Manufacturer : PUMA, ASIN : B07DTMWKBP"
PUMA Men's Axelion Cross Trainer,100,4.5,54,"Customers appreciate the comfortable and nice-looking shoes. They find the soles cushioned and not too stiff or flimsy. The design is true to form for Puma, and customers enjoy the color options. Many consider the shoes great for the gym and casual wear. They also like the value for money, weight, and walking ability. However, some have mixed opinions on the fit and durability.",100% Synthetic,Machine washable,Vietnam,Rubber,mens,,"BOLD ENHANCEMENT: This cross-trainer shoe features a new material that takes the Axelion design to the next level. STABLE SUPPORT: The upper has a molded saddle piece that adds fresh interest and bold, exaggerated lacing. DURABLE AND COMFORTABLE: The shoe has a TPU shank for support and an EVA heel piece for long-lasting comfort.",Tidak ditemukan
PUMA Men's Club Ii Era Sneaker,50,4.3,52,"Customers find the shoes comfortable with thick insoles and great padding. They appreciate the pretty colors that go well with khakis. The quality of the materials and rubber soles are also mentioned as positive aspects. However, some customers have differing opinions on the sizing.",100% Leather,,Imported,Synthetic Rubber,mens,2-May,"TIMELESS DESIGN: Meet the PUMA Club II Era, a fresh twist on the terrace classic, with new design elements and its football heritage intact. COMFORT AND SUPPORT: The SoftFoam+ sockliner provides superior cushioning and optimal comfort for every step of your day. DISTINCTIVE DETAILING: These shoes take on street style with smooth suede and leather upper and a heavy texture on the tooling.","Item Weight : 2.13 Pounds, Item model number : 40023701, Department : mens, Date First Available : May 2, 2024, Manufacturer : PUMA, ASIN : B0D362X5H1"
