brand,judul,collabs,jenis_konten,hashtags,jumlah_like,date
adidas,"Here’s to effortless style and versatility! 🎉✨ Had a blast at our intimate luncheon and styling session event celebrating the launch of adidas Low Profile Collection. 🥳  Don’t miss your chance to rock these , , and  looks—grab yours at your nearest adidas Indonesia retail partner stores!",,video,#adidasJapan #adidasTaekwondo #adidasTokyo,"6,569 likes",2024-12-17
adidas,"Embracing the magic of Bali. 🌺✨  In collaboration with local artists @tuangga1 and @gusdesidhi, we’ve transformed Bali’s beauty, culture, and philosophy into timeless adidas Originals shirts & bags, with adidas Bali shoes back in the collection.  Island Series: SS25 Bali Pack, available in adidas Indonesia retail stores and on adidas.co.id starting 01.12.2024. 🔗","@tuangga1, @gusdesidhi",video,,"4,684 likes",2024-11-30
adidas,"inspired by martial arts, as seen on @hoooooyeony. This drop is your ultimate fit upgrade. 😉💫",@hoooooyeony,image,#adidasTaekwondo,"1,582 likes",2024-10-10
adidas,"Creating the magic of comfort in your active everyday, but with style 😉  The Essentials collection is all about keeping it cozy without compromising on looks. Here’s to making every moment special!",,image,,"3,000 likes",2024-12-13
adidas,"Step in endless comfort with adidas Cloudfoam! ☁️  Perfect for meeting your daily step goal or going on a casual stroll. Slip them on and conquer your day, one comfy walk at a time!👟✨",,video,,503 likes,2024-12-11
adidas,"Discover the spirit of Bali through our Island Series: SS25 Bali Pack, designed by local artists to celebrate timeless values and stories:  🍀 Balinese Smile by @tuangga1 A design that reflects inner peace, community, and tradition, reminding us that true happiness lies in simple joys and genuine connections.  ✨ Progress by @gusdesidhi Inspired by the saying “Manusa sakti, dewa kasor,” this tee encourages us to embrace our struggles, seeing them as opportunities. Every effort we make contributes to our progress.  🏆 Triumph by @gusdesidhi Inspired by the story of Garuda and Tirta Amerta, this design celebrates our daily journey to reach our goals and write our own triumphant stories.  🌺 Harmony of Bali by @tuangga1 Bali’s harmony is rooted in the philosophy of Tri Hita Karana, which seeks balance between spirit, nature, and humanity. This sacred equilibrium is the soul of Bali, and this design beautifully reflects its spirit.  Out now! Get this pack through the link in our bio and at your nearest adidas Indonesia retail partner stores. 🔗","@tuangga1, @gusdesidhi, @gusdesidhi, @tuangga1",image,,"9,771 likes",2024-12-01
adidas,"Exploring the streets of the city of dreams, featuring the Forum Low CL Shoes by @adidasindonesia. Iconic, comfortable, and always on point.",@adidasindonesia,video,#adidasIndonesia #createdwithadidas,"6,771 likes",2024-11-22
adidas,"Comfort in every thread, style in every step. Elevate your style with the adidas Java Collection.  Don’t miss this collection! Get yours at the link in bio and adidas Indonesia’s retail partners. 🔗",,video,,"1,095 likes",2024-11-21
adidas,Spotting the adidas fam repping their favorite running shoes on the road.  Which one’s your favorite?,,video,#adidasRunning,"3,163 likes",2024-11-19
adidas,"From first reps to personal bests, we’re here to celebrate your strength in any level.  Let’s own your journey, together and empowered in motion with  apparel. 💪🏻",,video,#adidasTraining,"1,038 likes",2024-11-06
adidas,"Six stars: checked! ✅  Once insecure and barely into sports, @oceangigih’s journey began with a spontaneous 10K and a spark to push beyond limits. From that first race to now completing all six World Major Marathons, he’s shown what resilience and self-belief can achieve. 🏅  Congratulations, Captain— !",@oceangigih,image,#YouGotThis,"2,986 likes",2024-11-04
adidas,"Empowerment in every move. Whether you’re just starting out or pushing your limits, the path to fitness is for everyone.  Let’s embrace your best self in  apparel, one rep at a time. 🌟",,image,#adidasTraining,"1,297 likes",2024-11-01
adidas,"Feeling the fast with ADIZERO EVO SL at the previous Jakarta Running Festival, engineered for those who want to look good and feel fast. 😉💨",,video,,"2,732 likes",2024-10-29
adidas,Heritage meets everyday vibes with the adidas Java Collection.  Shop yours on the link in bio and adidas Indonesia retail partners. 🔗,,image,,Liked by trimulyaniap and others,2024-10-19
adidas,What running in your comfiest shoes looks like... 🏃🏻‍♀️💨  This is supercomfort. This is .,,video,#adidasSupernova,"1,425 likes",2024-10-18
adidas,Supercomfort is back! The new  has arrived to bring you comfort and support on each stride.  Have you experienced the comfiest shoes to date? 👟☁️,,image,#adidasSupernova,"1,552 likes",2024-10-08
adidas,"Memperkenalkan Java Collection dari adidas Indonesia!  Menghadirkan kembali sepatu ikonis OG adidas Java dipadukan dengan Java tee yang penuh warna dan Java bag yang elegan, bikin penampilan kamu makin maksimal.  Dapatkan segera di mitra retail adidas Indonesia dan adidas.co.id 🔗",,image,,"22,290 likes",2024-10-01
adidas,"From performance to daily life, the connection flows seamlessly, creating a line that never stops and shapes the day. 💪✨",,image,#adidasZNE,"10,677 likes",2024-09-22
adidas,"From scoring goals on the field, hitting rallies on the court, to tackling everyday challenges, these lines connects us.",,image,#adidasZNE,"2,997 likes",2024-09-21
adidas,Travel tip: pack matching outfits with your bestie. Who needs a map when you’re this coordinated? 🛫👯‍♀️✨,,video,,"2,613 likes",2024-09-18
adidas,"This is — designed for all the lines we cross, connecting us beyond courts, field and tracks.",,image,#adidasZNE,"2,330 likes",2024-09-17
adidas,Serving up major style with these . Bringing the perfect blend of sporty vibes and Y2K cool to your day out. 👭🏻🤳🏻,,image,#adidasTaekwondo,"7,923 likes",2024-09-11
adidas,"Swipe to see all the fun @aghninyhaque and @reginapoetiray had at Les Mills Live Singapore 2024! 🕺✨ They crushed it at the Les Mills Dance and Bodycombat 100 sessions, and even got to hang with House, Reagan, and adidas creators from all over SEA!  It was all about good vibes, epic moves, and new connections. Thanks for having us @adidassg 🙌🔥","@aghninyhaque, @reginapoetiray, @adidassg",image,#LesMillsLiveSingapore,"8,923 likes",2024-09-06
adidas,"Every line tells a story, connecting us through the passion of sport.  Celebrate the lines that unite us with , both on and off the pitch.",,image,#adidasZNE #adidasSportswear #adidasIndonesia,"1,212 likes",2024-09-04
adidas,"Meet , your go-to everyday uniform that keeps you connected to your favorite sport.",,image,#adidasZNE #adidasSportswear #adidasIndonesia,"10,088 likes",2024-09-03
adidas,"Connecting the lines, back to the homeground in my everyday uniform",,image,#adidasZNE #adidassportswear #createwithadidas,"5,227 likes",2024-08-29
adidas,"Geared up, shoes on, energy amped. More joy, more fun, and higher performance with  5. 😉🏃🏻‍♂️💨",,video,#ultraboost,803 likes,2024-08-22
adidas,"New month, new drip. The CLOT August Collection by @edisonchen is all about unleashing creativity and exploring new spaces.  🕶️ Available 23rd August at @atmos_id and adidas.co.id.","@edisonchen, @atmos_id",image,,935 likes,2024-08-21
adidas,"adidas Indonesia mempersembahkan Independence Tee, kolaborasi istimewa dengan @oscarlawalataculture. Kaos ini mewakili semangat kemerdekaan nasional dengan gaya kasual yang dapat dipadukan dengan gaya pribadi setiap orang.  Dapatkan segera di mitra retail adidas Indonesia atau klik link di bio. Selamat Hari Kemerdekaan! 🇮🇩🔗",@oscarlawalataculture,video,,"5,062 likes",2024-08-17
adidas,"Stop pakai sepatu yang salah ke gym! Time to prioritize what’s on our feet, Dropset 3 is MADE tor Strength workouts. 🏋🏻‍♀️💪🏻",,video,,"1,642 likes",2024-08-16
adidas,Mari rayakan Hari Kemerdekaan Indonesia dengan Special Tee Collection dari adidas Indonesia berkolaborasi dengan @oscarlawalataculture.  Dapatkan segera di mitra retail adidas Indonesia atau melalui link di bio 🔗🇮🇩,@oscarlawalataculture,image,,"5,443 likes",2024-08-15
adidas,adidas 🤝 ASEAN United FC = unstoppable!  adidas is now the Official Performance Partner for the four major national team and club events under ASEAN United FC.,,image,,"8,358 likes",2024-08-14
adidas,"Feeling those high-energy moments, courtesy of  5. ✨",,video,#ultraboost,"2,115 likes",2024-08-13
adidas,High-energy runs with your squad are guaranteed by the new  5!! Tag your running buddies to try it out at your nearest adidas retail stores and retail partners. 🏃🏻‍♂️💨,,image,#ultraboost,"4,112 likes",2024-08-10
