id,name,brand,category,color,gender,price,stock,rating,reviews,status,release_date,weight,size,returnable
1,Adidas Badminton Ultra,Adidas,Badminton,White,Men,1865000.0,20,4.6,487,Discontinued,2023-06-22,69.7,1.4,t
2,Reebok Basketball Ultra,Reebok,Basketball,Grey,Unisex,2976000.0,0,4.4,418,Discontinued,2021-11-26,86.8,1.6,t
3,Adidas Running Elite,Adidas,Running,Red,Men,2458000.0,20,4.2,41,Discontinued,2023-05-01,73.2,3.6,f
4,Puma Tennis Elite,Puma,Tennis,Grey,Women,2964000.0,40,4.4,168,Clearance,2021-10-23,75.0,2.5,t
5,Converse Badminton Lite,Converse,Badminton,Red,Men,2406000.0,0,4.0,304,Discontinued,2020-02-24,82.7,4.1,t
6,Reebok Badminton Pro,Reebok,Badminton,White,Unisex,1962000.0,50,3.9,389,New,2021-08-14,23.6,3.2,t
7,Reebok Casual Classic,Reebok,Casual,Orange,Men,1427000.0,0,3.9,713,Regular,2021-03-03,87.8,3.0,f
8,Nike Running Lite,Nike,Running,Grey,Women,1106000.0,0,4.4,126,Clearance,2021-04-20,71.1,3.2,t
9,Puma Basketball Elite,Puma,Basketball,Red,Unisex,2086000.0,30,4.8,824,New,2020-08-23,83.3,5.0,f
10,Nike Running Classic,Nike,Running,Black,Unisex,2225000.0,0,3.7,351,Discontinued,2022-04-08,81.5,2.2,f
11,Converse Running Pro,Converse,Running,Grey,Unisex,730000.0,40,4.8,934,Regular,2022-05-25,61.2,2.4,t
12,Puma Sandals Elite,Puma,Sandals,Blue,Men,803000.0,0,3.9,873,Discontinued,2024-12-13,52.2,4.5,t
13,Puma Basketball Ultra,Puma,Basketball,Black,Unisex,2244000.0,30,3.6,631,Clearance,2020-06-14,54.1,1.1,t
14,Converse Running Pro,Converse,Running,Green,Men,2486000.0,20,4.6,826,Discontinued,2022-02-11,94.2,4.2,f
15,Reebok Casual Elite,Reebok,Casual,Red,Unisex,2660000.0,0,4.9,313,Discontinued,2020-02-11,51.2,2.5,t
16,Puma Football Ultra,Puma,Football,Green,Men,2719000.0,0,3.8,361,Clearance,2023-08-30,28.6,3.1,t
17,Reebok Badminton Classic,Reebok,Badminton,Grey,Men,2039000.0,50,3.9,670,Regular,2023-12-03,50.1,4.2,t
18,Converse Running Pro,Converse,Running,White,Men,2093000.0,40,3.7,747,Discontinued,2023-11-12,76.7,4.6,t
19,Nike Sandals Elite,Nike,Sandals,Red,Women,2699000.0,0,4.8,960,Regular,2022-02-13,7.9,4.6,t
20,Puma Sandals Pro,Puma,Sandals,Purple,Unisex,1487000.0,30,3.8,888,New,2020-11-06,93.9,1.9,t
21,Converse Badminton Elite,Converse,Badminton,Navy,Unisex,939000.0,30,4.0,684,Regular,2023-03-20,22.0,2.3,t
22,Puma Basketball Elite,Puma,Basketball,Blue,Women,2393000.0,0,4.8,278,Clearance,2024-11-12,54.6,2.6,f
23,Adidas Running Pro,Adidas,Running,Orange,Men,720000.0,0,4.9,737,Regular,2024-09-01,15.9,3.6,t
