brand,nama_produk,username,star,date,comment,sentiment,confidence_sentiment_score,aspect_sentiments,Keywords Tags
puma,PUMA Men's Viz Runner Cross-trainer,Sterling Waterman,5,5-Oct-24,not a puma person but bought a sweat suit recently and needed a pair of matching sneakers definitely impressed with the look feel fit and cost,positif,0.864749849,"{'comfort': 'positive', 'price': 'positive', 'quality': 'positive'}","['suit', 'sweat', 'matching', 'recently', 'impressed', 'person', 'cost', 'needed', 'definitely', 'puma']"
puma,PUMA Men's Viz Runner Cross-trainer,Keitha Francois,5,2-Nov-24,very comfortable and the quality exceeds my expectations a great buy,positif,0.972824037,"{'comfort': 'positive', 'quality': 'positive'}","['exceeds', 'expectations', 'buy', 'quality', 'great', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,SfpatrickG,5,17-Aug-24,they are great i only buy pounds comfortable and well made i have pair and they are the only sneer i buy durable sized correctly and stylish,positif,0.96423173,"{'comfort': 'positive', 'quality': 'positive'}","['sneer', 'pounds', 'buy', 'correctly', 'sized', 'durable', 'stylish', 'pair', 'great', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Jes,5,1-Nov-24,great shoes i bought pairs now,positif,0.894379795,"{'comfort': 'positive', 'quality': 'positive'}","['pairs', 'bought', 'great', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Lennys Contreras,5,6-Nov-24,these shoes are beautiful,positif,0.983166218,"{'design': 'positive', 'quality': 'positive'}","['beautiful', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Brandy Arnett,5,29-Sep-24,had a pair before could not find at any local show store fits great cleans super easy compared to cloth material which is great if you like all white shoes,positif,0.951946497,"{'comfort': 'positive', 'quality': 'positive'}","['cleans', 'local', 'cloth', 'great', 'compared', 'store', 'easy', 'material', 'fits', 'white']"
puma,PUMA Men's Viz Runner Cross-trainer,Stephen S Smith,5,12-Oct-24,very underrated extremely comfortable lightweight all my pumas are extremely comfortable,positif,0.900318146,"{'comfort': 'positive', 'quality': 'positive'}","['extremely', 'underrated', 'lightweight', 'comfortable', 'pumas']"
puma,PUMA Men's Viz Runner Cross-trainer,Kevin Jimenez,5,15-Oct-24,excellent pair of shoes,positif,0.934104204,"{'design': 'positive', 'quality': 'positive'}","['excellent', 'pair', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,MAURO ART'S,5,12-Sep-24,they are very comfortable aesthetic and the right size for my foot,positif,0.962002039,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['aesthetic', 'right', 'foot', 'comfortable', 'size']"
puma,PUMA Men's Viz Runner Cross-trainer,Muy rápido servicio y el producto de la mejor calidad. Funcionando sin detalles.,5,12-Aug-24,very good quality and the shoe looks excellent,positif,0.975462317,"{'design': 'positive', 'quality': 'positive'}","['excellent', 'looks', 'quality', 'good', 'shoe']"
puma,PUMA Men's Viz Runner Cross-trainer,Amazon Customer,5,25-Nov-23,i buy a pair of puma sneakers every year for my father who is a hard worker and never has any nice things due to working he loves the comfort and stability the sneakers offer and the breathability due to his arthritis and swelling of his feet and ankles from an injury when he broke the heel of his foot its been almost yrs since i have been buying these sneakers for him and he loves them so much,positif,0.952483714,"{'comfort': 'positive', 'quality': 'positive'}","['sneakers', 'loves', 'swelling', 'breathability', 'worker', 'father', 'injury', 'arthritis', 'yrs', 'stability']"
puma,PUMA Men's Viz Runner Cross-trainer,Nikie,5,7-Jun-24,my husband really loves it he said its very comfortable,positif,0.99096632,"{'comfort': 'positive', 'quality': 'positive'}","['husband', 'said', 'loves', 'really', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Elaina Sirmans,5,26-May-24,the sneakers are very very comfortable nice stylish to them i recommend them,positif,0.985124946,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['stylish', 'recommend', 'sneakers', 'nice', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Doug,5,28-May-24,love the looks and comfort,positif,0.974533617,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['comfort', 'looks', 'love']"
puma,PUMA Men's Viz Runner Cross-trainer,Deb,5,26-May-24,better than expected,positif,0.668878853,"{'comfort': 'positive', 'quality': 'positive'}","['better', 'expected']"
puma,PUMA Men's Viz Runner Cross-trainer,Chad,5,9-May-24,well comfortable,positif,0.523909628,"{'comfort': 'positive', 'quality': 'positive'}",['comfortable']
puma,PUMA Men's Viz Runner Cross-trainer,rodger mata,5,13-Feb-24,this was a gift and the person i gifted it to loved it i was happy with the purchase,positif,0.985341251,"{'comfort': 'positive', 'price': 'positive', 'quality': 'positive'}","['gifted', 'person', 'gift', 'happy', 'loved', 'purchase']"
puma,PUMA Men's Viz Runner Cross-trainer,Edward EmanuEl,5,29-Feb-24,these puma are really comfortable running shoes and they look really good too,positif,0.987619996,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['really', 'running', 'puma', 'look', 'good', 'comfortable', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Marcos Hidalgo,5,8-Feb-24,the shipping service was perfect and the shoes even more so thank you for everything,positif,0.989144266,"{'comfort': 'positive', 'quality': 'positive'}","['service', 'thank', 'shipping', 'perfect', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,GEORGE,5,4-Feb-24,comfortable good looking and reasonable price,positif,0.927302122,"{'comfort': 'positive', 'design': 'positive', 'price': 'positive', 'quality': 'positive'}","['reasonable', 'looking', 'price', 'good', 'comfortable']"
puma,PUMA Men's Viz Runner Cross-trainer,Paul Holland,5,25-Dec-23,great value will not go in store and buy big brand name shoes again,negatif,0.475434214,"{'price': 'positive', 'quality': 'positive'}","['value', 'store', 'brand', 'big', 'buy', 'great', 'shoes']"
puma,PUMA Men's Viz Runner Cross-trainer,Delano M.,5,31-Aug-23,i like this shoe its easy to slip into and comfortable to wear i have a white one so it was a no brainer for the black yes they are easy to clean durable and has memory form for good support,positif,0.961903334,"{'comfort': 'positive', 'design': 'positive', 'quality': 'positive'}","['easy', 'brainer', 'form', 'yes', 'memory', 'durable', 'clean', 'slip', 'black', 'white']"
