campaign_id,name_campaign,budget,reach,start_date,end_date,category,format_type,platform,product_id,target_engagement
1,Advanced regional definition,446800000.0,507971,2025-02-06,2025-06-17,Awareness,Carousel,Instagram,195,62145
2,Ergonomic upward-trending intranet,491000000.0,106857,2025-12-14,2026-02-11,Conversion,Story,TikTok,30,83735
3,Monitored mission-critical artificial intelligence,246800000.0,750177,2024-05-31,2024-06-24,Consideration,Story,TikTok,143,81495
4,Synergistic multi-state conglomeration,124400000.0,712036,2024-03-13,2024-06-04,Consideration,Video,Instagram,74,94418
5,Face-to-face intangible installation,120000000.0,684571,2024-10-23,2024-11-27,Awareness,Image,Instagram,138,50603
6,Team-oriented upward-trending task-force,360400000.0,426509,2025-10-11,2026-02-13,Conversion,Video,TikTok,177,63018
7,Proactive 4thgeneration functionalities,120400000.0,304268,2025-08-30,2025-09-25,Awareness,Carousel,Instagram,78,6598
8,Open-source bandwidth-monitored flexibility,351300000.0,822388,2025-11-01,2025-12-21,Awareness,Story,TikTok,21,37636
9,Front-line zero-defect protocol,486300000.0,532878,2024-09-01,2025-01-17,Consideration,Image,Instagram,145,8768
10,Self-enabling foreground attitude,294900000.0,71975,2024-10-11,2024-11-11,Conversion,Carousel,Instagram,91,61153
11,Open-source impactful definition,263700000.0,785519,2024-07-20,2024-10-13,Awareness,Story,TikTok,69,8350
12,Programmable actuating concept,232000000.0,368866,2025-04-28,2025-10-08,Consideration,Video,Instagram,159,84894
13,Persistent human-resource encryption,375900000.0,801816,2024-07-10,2024-11-30,Conversion,Story,TikTok,105,61919
14,Future-proofed bandwidth-monitored initiative,53700000.0,906585,2025-03-23,2025-06-13,Consideration,Video,TikTok,159,11683
15,Mandatory leadingedge framework,334400000.0,393972,2024-12-11,2025-02-01,Conversion,Story,TikTok,102,59025
16,Reverse-engineered zero administration challenge,299300000.0,138921,2026-01-07,2026-03-02,Consideration,Image,TikTok,83,15787
17,Reduced value-added interface,454200000.0,306120,2025-07-28,2025-08-18,Conversion,Carousel,TikTok,27,10389
18,Mandatory zero tolerance paradigm,302800000.0,750078,2025-12-07,2026-02-19,Consideration,Image,TikTok,167,76046
19,Extended contextually-based orchestration,160400000.0,552266,2024-03-25,2024-06-04,Consideration,Carousel,TikTok,38,49107
20,Re-contextualized user-facing artificial intelligence,350700000.0,65803,2024-11-05,2025-01-30,Consideration,Carousel,TikTok,190,93017
21,Profit-focused heuristic policy,396800000.0,10326,2025-08-17,2025-10-11,Consideration,Story,Instagram,20,91364
22,Customizable clear-thinking Internet solution,485100000.0,843985,2024-05-28,2024-07-03,Consideration,Image,Instagram,110,85942
23,Total solution-oriented firmware,211100000.0,255663,2025-06-23,2025-12-11,Conversion,Video,TikTok,58,21015
24,Up-sized static intranet,254200000.0,574892,2025-02-09,2025-06-01,Conversion,Image,Instagram,197,31984
25,Diverse actuating Internet solution,109000000.0,803176,2024-03-28,2024-04-10,Consideration,Video,Instagram,99,6102
26,Grass-roots human-resource array,222900000.0,916806,2024-10-02,2024-11-01,Consideration,Video,Instagram,149,57025
27,Multi-tiered full-range definition,430500000.0,572371,2024-01-11,2024-06-13,Awareness,Carousel,Instagram,125,93701
28,Configurable 24/7 analyzer,389800000.0,925291,2025-07-28,2025-11-23,Consideration,Image,Instagram,36,29152
29,Customer-focused attitude-oriented customer loyalty,340900000.0,719485,2025-05-02,2025-09-10,Awareness,Video,TikTok,48,3752
30,Reactive tertiary budgetary management,176600000.0,793459,2024-06-20,2024-08-20,Conversion,Image,TikTok,120,14858
31,Customer-focused clear-thinking architecture,105200000.0,84320,2025-12-02,2026-03-10,Awareness,Image,Instagram,105,23409
32,Enterprise-wide tangible hierarchy,136800000.0,393544,2024-03-01,2024-08-14,Consideration,Story,TikTok,93,35653
33,Sharable background model,313800000.0,198823,2024-09-02,2025-01-02,Consideration,Carousel,TikTok,70,42354
34,Upgradable executive collaboration,456800000.0,302620,2025-02-17,2025-04-26,Conversion,Story,TikTok,62,36077
35,Exclusive upward-trending middleware,358700000.0,141730,2024-11-25,2025-01-31,Consideration,Carousel,Instagram,56,19743
36,Switchable cohesive middleware,465400000.0,86306,2024-04-28,2024-08-11,Awareness,Video,Instagram,186,96901
37,Ergonomic maximized concept,117700000.0,878304,2024-07-17,2024-11-24,Consideration,Story,TikTok,23,73471
38,Enterprise-wide needs-based data-warehouse,343100000.0,198685,2024-11-20,2024-12-03,Awareness,Image,TikTok,146,17876
39,Team-oriented mobile parallelism,168100000.0,967431,2024-12-20,2025-04-25,Awareness,Carousel,TikTok,181,98801
